id,name,category,subcategory,brand,price,old_price,discount_percent,final_price,stock,rating,review_count,image_url
1,BPM Chola 500gm,Dal or Lentil,Packed Daal,BPM,67,67,0,67,40,4.5,38,https://d2t8nl1y0ie1km.cloudfront.net/images/6952640538648239adbc9ae4_BPM-Chola-500gm_1.webp
2,Paragon Chicken Spring Roll 400gm,Frozen,Frozen Snacks Others,Paragon,262,320,18,262,20,3.8,22,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa96aed61902ef2307b50f_Paragon-Chicken-Spring-Roll-400gm_1.webp
3,Haiko Black Pepper 30gm (Pet),Spices,Mixed Spice,Haiko,150,150,0,150,20,4.1,26,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/6853e22d0c1fa0ca8bae447e_Haiko-Black-Pepper-30gm-Pet_1.webp
4,Kellogg's Chocos Variety Pack(5x20(+)2) 110(+)10gm,Breakfast,Cereals,Kellogg's,100,100,0,100,50,4,54,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa96c1d61902ef2307b5f3_Kelloggs-Chocos-Variety-Combo-Save-20tk_1.webp
5,Bellissimo Primo Coffe Bar Ice Cream 70ml,Food,Ice Cream,Bellissimo,44,50,12,44,30,4.6,37,https://d2t8nl1y0ie1km.cloudfront.net/images/69529e11c276531e00944cd3_Bellissimo-Primo-Coffe-Bar-Ice-Cream-70ml_1.webp
6,Kodomo Baby Powder Natural Soft 160g(+)20gm,Baby Food & Care,Baby Bath & Skincare,Kodomo,670,870,23,670,80,4.5,83,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/6655ae018b70ee8a4383446a_Kodomo-Baby-Powder-Natural-Soft-Protection-20020gm_1.webp
7,Foster Clark's Food Essence Mango 28 ml,Baking Needs,Colours & Flavors,Foster Clark's,140,140,0,140,60,4.8,69,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa95e0115075f231eccb49_Foster-Clarks-Food-Essence-Mango-28-ml_1.webp
8,Chashi Chinigura Rice 5kg,Rice,Packed Rice,Chashi,1100,1100,0,1100,15,3.9,16,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa94eb115075f231ec57c1_Chashi-Chinigura-Rice-5kg_1.webp
9,ACI Fun Ghee Toast Biscuit 200(+)15gm,Biscuits,Toast Biscuit,ACI,75,80,6,75,15,4.3,9,https://d2t8nl1y0ie1km.cloudfront.net/images/69529ec1846ae6a8d85748ad_ACI-Fun-Ghee-Toast-Biscuit-200gm_1.webp
10,Jet Classic Detergent Powder 200(+)20gm,Home Cleaning,Laundry,Jet,60,60,0,60,30,3.8,55,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa9552115075f231ecaea6_Jet-Detergent-Powder-20020gm_1.webp
11,Seylon Family Blend Tea 200gm,Tea,Tea Others,Seylon,105,125,16,105,60,4,45,https://d2t8nl1y0ie1km.cloudfront.net/images/6881de829b4616728f45b2e0_Seylon-Family-Blend-Tea-200gm_1.webp
12,Paragon Chicken Nuggets 300gm,Frozen,Nuggets,Paragon,204,240,15,204,15,4.4,52,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa96afd61902ef2307b517_Paragon-Chicken-Nuggets-300gm_1.webp
13,Fresh Super Premium Salt 1kg,Salt & Sugar,Salt,Fresh,34,42,19,34,80,3.8,107,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa94ea115075f231ec570c_Fresh-Super-Premium-Salt-1kg_1.webp
14,Himalaya Neem & Turmeric Soap 125gm,Beauty Care,Body Wash,Himalaya,75,85,12,75,15,4,38,https://d2t8nl1y0ie1km.cloudfront.net/images/6a61cfbc881648e68a2ea86a_Himalaya-Neem-Turmeric-Soap-125gm_1.webp
15,King's Sunflower Oil 5Ltr.,Oil,Sunflower Oil,King's,1800,2100,14,1800,30,4.5,48,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa94d4115075f231ec4f59_Kings-Brand-Sunflower-Oil-5L_1.webp
16,Sprite 250ml (Can),Drinks,Soft Drinks,Sprite,80,80,0,80,30,4.4,20,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/66963bfb414c61225be9c5af_Sprite-250ml-can_1.webp
17,Fresh Mejanda Drink 250ml (Pet Bottle),Drinks,Soft Drinks,Fresh,20,20,0,20,30,4,50,https://d2t8nl1y0ie1km.cloudfront.net/images/695263c638648239adbc8f1b_Fresh-Mejanda-Drink-250ml-Pet_1.webp
18,Aarong Dairy Butter 200gm,Dairy,Butter,Aarong Dairy,270,270,0,270,15,4.4,48,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa9505115075f231ec6a94_Aarong-Dairy-Butter-200gm_1.webp
19,Ruchi Orange Jam 500(+)20gm,Breakfast,Jam & Jelly,Ruchi,220,220,0,220,25,4.7,54,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa9673d61902ef2307b1a3_Ruchi-Orange-Jam-500g20gm_1.webp
20,Telapiya Fresh Local Cultured 200gm+,Fish,Fresh Water Fish,Local,235,235,0,235,25,3.8,30,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/6790ae20976639d257255675_Telapiya-frs-loc-mym-cul-RC-4-5-pcskg_1.webp
